CreditScore,Age,Tenure,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Gender_Male,Geography_Germany,Geography_Spain
633.0,46.0,5.0,4.0,1.0,0.0,114775.53,1.0,0,0,0
749.0,34.0,3.0,2.0,1.0,0.0,75927.35,0.0,0,0,0
582.0,36.0,2.0,2.0,1.0,0.0,177834.79,0.0,0,0,0
642.0,33.0,5.0,2.0,1.0,0.0,145558.42,0.0,1,1,0
821.0,28.0,4.0,2.0,0.0,1.0,131736.23,0.0,1,0,0
548.0,37.0,10.0,2.0,1.0,0.0,180197.74,0.0,1,0,0
648.0,38.0,4.0,1.0,1.0,1.0,175795.87,0.0,1,1,0
674.0,46.0,9.0,1.0,1.0,0.0,93820.49,1.0,1,0,0
716.0,31.0,4.0,2.0,1.0,0.0,121866.87,0.0,1,0,0
654.0,33.0,5.0,2.0,0.0,0.0,171345.02,0.0,1,0,0
720.0,29.0,7.0,2.0,1.0,1.0,114072.91,0.0,1,0,0
721.0,32.0,7.0,2.0,1.0,1.0,135077.01,0.0,0,0,0
749.0,32.0,2.0,2.0,1.0,1.0,115611.97,0.0,1,0,0
641.0,32.0,4.0,2.0,1.0,1.0,120107.1,0.0,1,1,0
641.0,26.0,5.0,1.0,1.0,1.0,147040.25,1.0,0,1,0
652.0,50.0,7.0,4.0,1.0,1.0,63737.19,1.0,0,0,0
741.0,40.0,1.0,2.0,1.0,0.0,121138.77,1.0,1,0,1
583.0,36.0,6.0,2.0,1.0,0.0,126561.07,0.0,0,0,0
662.0,36.0,5.0,2.0,1.0,0.0,146636.44,0.0,1,0,1
592.0,40.0,8.0,1.0,1.0,1.0,142903.44,0.0,1,0,1
585.0,47.0,7.0,2.0,0.0,0.0,90876.95,0.0,0,0,1
586.0,33.0,6.0,2.0,1.0,1.0,166677.54,0.0,1,0,0
554.0,50.0,1.0,1.0,1.0,0.0,143681.83,1.0,0,0,0
694.0,42.0,3.0,1.0,1.0,0.0,98820.09,0.0,1,0,1
712.0,49.0,9.0,1.0,1.0,1.0,49865.04,1.0,0,0,0
686.0,59.0,9.0,1.0,0.0,0.0,119969.99,1.0,0,1,0
756.0,36.0,7.0,2.0,0.0,1.0,114448.77,0.0,1,0,1
718.0,35.0,1.0,2.0,1.0,1.0,103557.85,0.0,0,0,0
589.0,48.0,8.0,1.0,0.0,0.0,90162.35,1.0,0,0,0
684.0,40.0,9.0,1.0,1.0,1.0,138743.86,0.0,1,0,0
805.0,42.0,10.0,1.0,1.0,1.0,157564.75,0.0,1,0,0
718.0,28.0,10.0,1.0,1.0,1.0,110230.4,0.0,0,0,0
730.0,37.0,5.0,1.0,1.0,1.0,80130.54,0.0,1,0,0
573.0,43.0,9.0,2.0,1.0,1.0,71173.64,0.0,1,0,0
699.0,29.0,5.0,2.0,1.0,1.0,63737.19,0.0,1,0,1
582.0,42.0,5.0,2.0,1.0,0.0,131647.31,0.0,1,0,0
498.0,36.0,3.0,2.0,1.0,0.0,27380.99,0.0,0,0,0
584.0,38.0,5.0,2.0,1.0,0.0,64448.36,0.0,1,0,0
773.0,48.0,8.0,1.0,1.0,1.0,102547.02,0.0,0,0,0
656.0,36.0,1.0,2.0,1.0,0.0,100995.68,0.0,1,0,0
572.0,45.0,2.0,2.0,1.0,0.0,173495.77,0.0,0,0,1
605.0,40.0,9.0,1.0,1.0,0.0,199661.5,1.0,0,0,1
653.0,39.0,5.0,2.0,0.0,1.0,180329.83,0.0,0,0,0
689.0,40.0,5.0,1.0,1.0,0.0,138380.11,0.0,1,0,0
684.0,51.0,1.0,1.0,1.0,0.0,85983.54,1.0,1,0,1
695.0,25.0,8.0,1.0,0.0,1.0,101839.77,0.0,1,0,1
690.0,29.0,6.0,2.0,1.0,0.0,133580.75,0.0,1,0,0
659.0,33.0,8.0,2.0,1.0,1.0,73686.75,0.0,1,0,0
586.0,33.0,6.0,1.0,0.0,1.0,120853.85,1.0,0,0,1
639.0,32.0,6.0,2.0,1.0,0.0,61792.76,0.0,1,0,0
686.0,51.0,2.0,1.0,1.0,1.0,115818.51,1.0,0,0,0
553.0,45.0,5.0,1.0,1.0,0.0,152880.99,1.0,1,1,0
684.0,55.0,1.0,1.0,1.0,0.0,56794.73,1.0,1,0,0
752.0,32.0,4.0,2.0,1.0,1.0,91844.14,0.0,1,0,0
689.0,49.0,9.0,2.0,0.0,0.0,70849.47,0.0,1,0,0
619.0,42.0,6.0,2.0,0.0,1.0,93820.49,0.0,0,0,0
683.0,30.0,4.0,1.0,0.0,0.0,135034.43,0.0,1,0,0
553.0,64.0,2.0,1.0,1.0,1.0,111346.22,0.0,0,0,0
710.0,39.0,7.0,2.0,1.0,0.0,138881.04,0.0,0,0,0
744.0,48.0,10.0,1.0,1.0,1.0,56787.8,1.0,0,1,0
593.0,45.0,9.0,1.0,1.0,0.0,172668.39,1.0,1,1,0
634.0,33.0,2.0,2.0,1.0,1.0,86927.53,0.0,1,0,0
521.0,35.0,10.0,1.0,1.0,1.0,79881.39,0.0,0,1,0
689.0,34.0,2.0,2.0,0.0,1.0,55601.44,0.0,1,0,1
607.0,20.0,7.0,1.0,1.0,0.0,151581.79,0.0,1,0,0
598.0,40.0,1.0,1.0,1.0,0.0,124489.88,1.0,0,0,0
850.0,32.0,8.0,2.0,1.0,1.0,76510.46,0.0,0,0,0
590.0,34.0,10.0,2.0,0.0,0.0,75664.56,0.0,1,0,0
757.0,36.0,9.0,2.0,1.0,0.0,129892.93,0.0,1,0,1
651.0,34.0,7.0,1.0,1.0,1.0,74846.67,0.0,1,0,0
656.0,42.0,5.0,2.0,1.0,0.0,171519.06,0.0,1,0,0
703.0,56.0,8.0,1.0,1.0,0.0,123860.83,1.0,1,1,0
765.0,33.0,6.0,2.0,1.0,0.0,97627.49,0.0,0,0,0
703.0,34.0,7.0,1.0,0.0,1.0,177655.68,0.0,1,0,0
712.0,43.0,1.0,2.0,0.0,1.0,48644.94,0.0,1,0,0
705.0,38.0,5.0,1.0,0.0,0.0,141075.51,0.0,0,0,1
813.0,32.0,6.0,1.0,0.0,1.0,136610.02,0.0,0,0,1
757.0,38.0,8.0,2.0,0.0,0.0,152499.8,0.0,1,0,0
755.0,41.0,10.0,2.0,1.0,1.0,68400.14,1.0,0,0,0
642.0,34.0,3.0,1.0,1.0,0.0,184980.23,0.0,1,0,0
447.0,38.0,4.0,1.0,1.0,1.0,56875.76,0.0,1,1,0
593.0,38.0,9.0,2.0,1.0,0.0,162599.51,0.0,0,0,0
645.0,31.0,2.0,2.0,1.0,1.0,163550.58,0.0,1,0,0
678.0,52.0,6.0,1.0,1.0,0.0,174971.64,1.0,0,0,1
679.0,31.0,2.0,2.0,1.0,0.0,164064.44,0.0,1,0,0
682.0,39.0,2.0,2.0,0.0,0.0,134794.02,0.0,0,1,0
684.0,41.0,1.0,1.0,1.0,1.0,48640.77,0.0,1,0,1
748.0,56.0,3.0,1.0,1.0,0.0,62370.67,1.0,1,1,0
812.0,29.0,4.0,2.0,1.0,0.0,75884.65,0.0,1,0,0
695.0,25.0,6.0,1.0,1.0,1.0,90878.13,0.0,0,0,0
579.0,41.0,7.0,2.0,1.0,1.0,142223.94,0.0,0,0,1
629.0,43.0,7.0,2.0,1.0,0.0,103372.79,0.0,0,0,1
726.0,46.0,5.0,1.0,1.0,1.0,131281.29,1.0,1,0,0
584.0,42.0,10.0,2.0,1.0,0.0,66586.56,0.0,0,0,0
619.0,44.0,1.0,1.0,1.0,0.0,145765.83,1.0,0,1,0
594.0,62.0,6.0,1.0,1.0,0.0,134794.02,1.0,0,1,0
634.0,42.0,1.0,1.0,1.0,1.0,72993.67,1.0,1,0,0
769.0,45.0,5.0,1.0,1.0,0.0,151822.66,0.0,0,0,0
648.0,30.0,8.0,2.0,0.0,0.0,161845.81,0.0,1,0,1
726.0,43.0,7.0,1.0,1.0,1.0,48553.77,0.0,1,1,0
613.0,33.0,5.0,2.0,0.0,0.0,141210.5,0.0,0,0,0
599.0,40.0,2.0,2.0,1.0,0.0,9241.83,0.0,1,1,0
708.0,28.0,7.0,2.0,1.0,1.0,96961.0,0.0,0,0,1
730.0,41.0,2.0,2.0,1.0,0.0,132480.75,0.0,1,0,0
727.0,33.0,2.0,1.0,0.0,0.0,74898.8,0.0,1,0,0
672.0,48.0,7.0,2.0,1.0,0.0,93769.89,1.0,1,0,1
700.0,45.0,4.0,2.0,0.0,0.0,143681.83,1.0,0,1,0
663.0,40.0,1.0,2.0,1.0,1.0,168008.17,1.0,0,1,0
762.0,27.0,9.0,2.0,0.0,0.0,87985.2,0.0,0,0,0
574.0,30.0,2.0,2.0,0.0,0.0,159891.03,0.0,1,1,0
571.0,48.0,3.0,3.0,1.0,0.0,87060.77,1.0,0,0,1
707.0,25.0,8.0,1.0,0.0,1.0,173365.9,0.0,0,0,1
656.0,43.0,9.0,1.0,1.0,0.0,103608.06,1.0,0,1,0
637.0,57.0,8.0,2.0,0.0,1.0,63717.49,0.0,1,1,0
646.0,53.0,6.0,1.0,1.0,0.0,107876.2,1.0,1,1,0
629.0,38.0,3.0,1.0,0.0,1.0,162763.01,1.0,1,0,0
758.0,36.0,4.0,2.0,1.0,1.0,196257.67,0.0,1,0,0
602.0,30.0,5.0,2.0,0.0,1.0,176780.39,0.0,0,0,0
653.0,36.0,7.0,1.0,0.0,1.0,110405.9,0.0,1,0,0
641.0,28.0,5.0,2.0,0.0,0.0,122949.71,0.0,1,0,0
684.0,39.0,3.0,1.0,1.0,0.0,77951.8,1.0,0,1,0
648.0,40.0,7.0,2.0,1.0,1.0,104723.88,0.0,0,0,0
638.0,27.0,8.0,2.0,0.0,1.0,180344.69,0.0,1,0,0
748.0,33.0,7.0,1.0,1.0,0.0,102908.91,0.0,0,0,0
708.0,33.0,9.0,2.0,1.0,0.0,84760.32,0.0,1,0,0
582.0,46.0,9.0,1.0,1.0,0.0,54676.1,1.0,0,1,0
585.0,23.0,9.0,2.0,1.0,1.0,109355.73,0.0,1,0,0
679.0,34.0,9.0,2.0,1.0,1.0,113481.02,0.0,1,0,1
663.0,33.0,9.0,2.0,1.0,0.0,149184.15,0.0,1,0,0
585.0,31.0,2.0,1.0,1.0,1.0,102763.69,0.0,0,0,0
614.0,41.0,8.0,2.0,0.0,1.0,152956.33,0.0,1,0,0
609.0,50.0,7.0,1.0,1.0,0.0,85891.02,1.0,1,0,0
677.0,40.0,8.0,1.0,1.0,1.0,97910.06,0.0,1,0,0
633.0,33.0,10.0,1.0,1.0,0.0,171060.01,0.0,0,0,0
695.0,28.0,5.0,2.0,1.0,1.0,94734.13,0.0,1,0,1
582.0,42.0,1.0,1.0,1.0,0.0,79972.09,0.0,0,0,1
624.0,43.0,8.0,1.0,1.0,0.0,135088.58,1.0,0,0,0
605.0,36.0,8.0,2.0,1.0,0.0,162703.0,0.0,1,0,1
571.0,33.0,6.0,2.0,1.0,0.0,169920.92,0.0,0,0,0
657.0,45.0,8.0,2.0,1.0,0.0,173912.29,0.0,1,0,0
850.0,37.0,10.0,2.0,1.0,0.0,102076.02,0.0,1,0,0
727.0,43.0,9.0,1.0,1.0,1.0,122899.01,0.0,0,0,0
769.0,35.0,1.0,2.0,1.0,0.0,136079.64,0.0,0,0,0
565.0,42.0,6.0,1.0,1.0,0.0,101491.23,1.0,0,1,0
729.0,35.0,3.0,1.0,1.0,0.0,105986.01,1.0,0,0,0
652.0,33.0,4.0,1.0,1.0,0.0,161076.92,0.0,1,0,0
850.0,43.0,3.0,2.0,1.0,1.0,138527.56,0.0,1,1,0
645.0,32.0,4.0,2.0,1.0,1.0,103799.77,0.0,0,0,0
741.0,34.0,8.0,2.0,1.0,1.0,9087.81,0.0,0,0,0
651.0,40.0,8.0,2.0,1.0,0.0,160529.71,0.0,0,0,1
640.0,59.0,5.0,3.0,1.0,0.0,79792.3,1.0,0,0,0
717.0,40.0,2.0,2.0,1.0,1.0,94670.77,0.0,1,0,1
722.0,36.0,4.0,2.0,0.0,1.0,120830.73,0.0,0,0,1
753.0,26.0,6.0,1.0,1.0,0.0,156787.34,0.0,1,0,1
604.0,26.0,5.0,2.0,1.0,0.0,45418.12,1.0,1,1,0
649.0,33.0,5.0,2.0,1.0,1.0,181204.5,0.0,1,1,0
589.0,47.0,9.0,1.0,0.0,0.0,137079.86,1.0,1,0,0
667.0,39.0,2.0,1.0,1.0,0.0,103713.93,0.0,1,0,0
719.0,32.0,7.0,2.0,1.0,0.0,44205.95,0.0,0,0,0
725.0,28.0,10.0,2.0,1.0,1.0,86587.35,0.0,1,0,1
671.0,27.0,7.0,2.0,1.0,0.0,65765.22,0.0,0,0,0
731.0,36.0,8.0,2.0,1.0,1.0,124592.83,0.0,0,1,0
588.0,23.0,8.0,2.0,0.0,1.0,112366.98,0.0,0,0,0
576.0,30.0,3.0,2.0,1.0,1.0,93835.64,0.0,0,0,1
699.0,27.0,3.0,2.0,1.0,0.0,119127.06,0.0,1,0,0
643.0,41.0,2.0,2.0,0.0,1.0,116442.42,0.0,0,0,0
521.0,30.0,9.0,2.0,1.0,0.0,128841.31,0.0,1,0,0
626.0,47.0,3.0,1.0,1.0,1.0,103760.53,1.0,1,0,1
803.0,38.0,6.0,2.0,1.0,1.0,124626.57,0.0,0,0,0
611.0,28.0,9.0,2.0,1.0,0.0,145765.83,0.0,1,0,0
561.0,47.0,4.0,3.0,0.0,1.0,167066.95,1.0,0,0,1
602.0,40.0,5.0,1.0,1.0,0.0,71926.28,1.0,0,1,0
756.0,40.0,2.0,1.0,1.0,0.0,152290.28,1.0,0,0,1
669.0,31.0,9.0,2.0,1.0,1.0,182718.25,0.0,1,0,0
556.0,61.0,4.0,1.0,0.0,0.0,173784.04,1.0,0,0,0
850.0,40.0,7.0,1.0,1.0,1.0,99800.87,0.0,1,1,0
705.0,44.0,10.0,1.0,1.0,0.0,109291.39,0.0,0,0,0
695.0,42.0,7.0,1.0,1.0,1.0,57904.22,0.0,1,1,0
635.0,38.0,5.0,1.0,1.0,0.0,59115.77,0.0,0,0,0
746.0,30.0,7.0,1.0,1.0,1.0,166440.32,0.0,1,1,0
678.0,47.0,6.0,1.0,1.0,0.0,181694.44,1.0,0,0,0
721.0,37.0,6.0,2.0,1.0,0.0,116097.26,0.0,1,0,1
712.0,41.0,4.0,1.0,1.0,0.0,80582.11,0.0,1,0,0
699.0,30.0,6.0,2.0,1.0,1.0,131710.59,0.0,1,0,0
619.0,42.0,4.0,2.0,0.0,1.0,181757.19,0.0,1,0,0
485.0,41.0,6.0,3.0,1.0,0.0,176750.81,1.0,0,1,0
551.0,39.0,4.0,1.0,1.0,1.0,71829.34,0.0,0,0,0
579.0,30.0,6.0,1.0,1.0,1.0,46811.77,0.0,0,1,0
838.0,37.0,5.0,1.0,1.0,1.0,60920.03,0.0,0,0,0
681.0,27.0,3.0,2.0,1.0,1.0,73562.05,0.0,1,0,0
632.0,52.0,5.0,1.0,1.0,0.0,121798.52,1.0,1,0,1
593.0,46.0,7.0,1.0,1.0,0.0,187929.43,1.0,0,0,0
508.0,34.0,0.0,2.0,0.0,1.0,89289.54,0.0,1,0,0
655.0,37.0,0.0,2.0,0.0,0.0,65720.92,0.0,1,0,0
537.0,37.0,5.0,1.0,1.0,0.0,93524.19,0.0,1,0,0
707.0,34.0,2.0,2.0,1.0,0.0,103914.4,0.0,1,0,0
639.0,37.0,7.0,4.0,1.0,1.0,158845.49,0.0,0,1,0
592.0,59.0,4.0,2.0,1.0,0.0,179521.24,1.0,1,0,0
673.0,35.0,6.0,2.0,1.0,1.0,170195.4,0.0,1,0,1
593.0,39.0,4.0,2.0,1.0,0.0,142797.5,0.0,1,0,0
568.0,42.0,5.0,2.0,1.0,0.0,151871.84,0.0,1,0,0
850.0,48.0,2.0,1.0,1.0,1.0,181718.73,1.0,1,0,1
562.0,41.0,3.0,1.0,1.0,0.0,181419.29,1.0,0,0,1
691.0,23.0,2.0,2.0,1.0,0.0,143681.83,0.0,0,0,0
545.0,37.0,5.0,2.0,1.0,0.0,180969.55,0.0,1,0,0
628.0,38.0,3.0,2.0,1.0,0.0,136910.18,0.0,1,0,0
732.0,32.0,7.0,1.0,1.0,0.0,105922.69,0.0,1,0,0
732.0,29.0,8.0,1.0,1.0,1.0,104889.3,1.0,0,0,0
584.0,39.0,3.0,2.0,1.0,0.0,179655.87,0.0,1,0,0
663.0,43.0,3.0,1.0,0.0,1.0,122268.75,0.0,1,0,0
591.0,41.0,2.0,1.0,1.0,0.0,100153.43,1.0,0,0,0
459.0,32.0,6.0,1.0,1.0,1.0,88872.45,1.0,0,1,0
658.0,49.0,2.0,1.0,1.0,0.0,77965.41,1.0,1,0,1
613.0,43.0,9.0,2.0,0.0,0.0,119927.81,0.0,0,1,0
577.0,57.0,2.0,1.0,0.0,1.0,82463.69,1.0,1,0,1
696.0,39.0,5.0,1.0,1.0,0.0,162861.89,1.0,1,0,0
684.0,58.0,4.0,2.0,1.0,1.0,175795.87,0.0,0,1,0
622.0,56.0,2.0,1.0,1.0,0.0,123587.85,1.0,0,0,0
583.0,49.0,0.0,1.0,1.0,1.0,57961.41,1.0,1,0,1
735.0,44.0,2.0,1.0,1.0,1.0,99056.22,1.0,1,1,0
683.0,28.0,8.0,1.0,0.0,0.0,176913.42,0.0,1,0,0
735.0,35.0,1.0,2.0,1.0,0.0,91829.17,0.0,0,0,1
719.0,31.0,8.0,2.0,1.0,0.0,47972.65,0.0,1,0,0
678.0,40.0,1.0,1.0,1.0,1.0,123882.73,0.0,1,0,0
682.0,33.0,8.0,1.0,0.0,1.0,155062.02,0.0,1,0,0
658.0,29.0,1.0,2.0,1.0,1.0,95864.5,0.0,1,0,1
561.0,55.0,2.0,1.0,1.0,1.0,74850.84,0.0,1,0,1
727.0,35.0,6.0,2.0,1.0,0.0,165082.25,0.0,0,0,0
542.0,29.0,6.0,1.0,1.0,0.0,77511.45,1.0,1,0,1
535.0,38.0,4.0,2.0,1.0,0.0,103712.05,0.0,1,0,0
581.0,54.0,2.0,1.0,0.0,0.0,58961.49,1.0,0,1,0
620.0,40.0,8.0,2.0,1.0,0.0,10666.05,0.0,0,0,1
712.0,28.0,3.0,1.0,1.0,0.0,71405.17,0.0,0,0,0
708.0,44.0,8.0,2.0,1.0,0.0,50560.45,0.0,1,0,1
581.0,37.0,1.0,1.0,1.0,0.0,172668.39,1.0,0,1,0
685.0,29.0,7.0,2.0,0.0,0.0,67622.34,0.0,0,0,0
719.0,34.0,8.0,2.0,1.0,1.0,100556.98,0.0,0,0,0
739.0,31.0,5.0,2.0,1.0,1.0,138350.94,0.0,0,0,0
634.0,49.0,2.0,1.0,0.0,1.0,58883.91,1.0,0,0,0
651.0,39.0,3.0,1.0,1.0,0.0,116977.3,0.0,1,0,1
667.0,34.0,7.0,2.0,1.0,0.0,823.96,0.0,0,0,1
595.0,36.0,6.0,2.0,0.0,1.0,176580.63,0.0,1,0,0
705.0,43.0,5.0,2.0,0.0,1.0,162260.93,0.0,1,0,1
720.0,47.0,4.0,1.0,1.0,0.0,139431.0,1.0,1,0,0
682.0,36.0,5.0,1.0,1.0,1.0,116471.43,0.0,1,0,0
583.0,38.0,8.0,2.0,1.0,0.0,179614.8,0.0,0,0,0
725.0,35.0,8.0,1.0,1.0,1.0,58879.31,0.0,1,1,0
753.0,34.0,7.0,2.0,0.0,1.0,67611.36,0.0,0,0,0
642.0,46.0,9.0,2.0,1.0,0.0,159475.08,0.0,0,0,1
669.0,30.0,5.0,2.0,1.0,0.0,180622.02,0.0,1,0,0
633.0,23.0,2.0,2.0,1.0,0.0,177747.57,0.0,0,1,0
703.0,46.0,8.0,1.0,1.0,1.0,153516.56,1.0,0,1,0
591.0,48.0,4.0,1.0,1.0,1.0,64839.23,0.0,0,1,0
748.0,41.0,1.0,1.0,1.0,0.0,149614.17,1.0,1,1,0
822.0,33.0,2.0,1.0,1.0,0.0,138880.24,0.0,1,0,0
769.0,28.0,1.0,2.0,1.0,0.0,735.79,0.0,1,0,0
730.0,40.0,9.0,2.0,1.0,1.0,69531.22,0.0,0,0,1
714.0,45.0,3.0,2.0,0.0,0.0,177528.92,0.0,0,0,0
651.0,38.0,10.0,1.0,0.0,1.0,38153.19,0.0,0,0,0
597.0,29.0,7.0,1.0,1.0,0.0,158036.72,1.0,0,0,0
545.0,39.0,7.0,2.0,1.0,0.0,84760.32,0.0,1,0,1
479.0,59.0,1.0,1.0,1.0,1.0,163830.64,0.0,1,1,0
641.0,22.0,1.0,1.0,1.0,1.0,124625.08,0.0,0,0,0
738.0,25.0,8.0,2.0,1.0,0.0,163911.32,0.0,1,0,1
690.0,52.0,3.0,1.0,1.0,0.0,19370.73,1.0,1,1,0
535.0,34.0,4.0,2.0,1.0,1.0,121866.87,0.0,1,0,0
678.0,53.0,1.0,1.0,1.0,0.0,54530.51,1.0,1,0,1
710.0,42.0,9.0,2.0,1.0,1.0,66485.57,0.0,0,0,0
807.0,35.0,1.0,2.0,0.0,0.0,187987.01,0.0,0,0,0
850.0,42.0,2.0,2.0,0.0,1.0,56583.88,0.0,0,0,0
597.0,41.0,5.0,1.0,1.0,0.0,70774.97,0.0,1,1,0
613.0,38.0,5.0,2.0,0.0,1.0,84871.99,0.0,0,0,0
583.0,44.0,9.0,2.0,1.0,1.0,81753.92,0.0,0,0,0
753.0,38.0,6.0,2.0,1.0,0.0,172363.41,0.0,1,0,0
553.0,42.0,5.0,1.0,1.0,1.0,116537.96,1.0,1,0,1
685.0,36.0,5.0,2.0,0.0,0.0,126471.13,0.0,0,0,0
646.0,35.0,4.0,2.0,1.0,1.0,73881.68,0.0,1,0,0
571.0,30.0,8.0,2.0,1.0,1.0,177524.19,0.0,0,0,0
556.0,33.0,7.0,2.0,1.0,1.0,134878.34,0.0,0,0,1
699.0,37.0,1.0,2.0,1.0,0.0,79919.13,0.0,1,0,0
730.0,38.0,1.0,1.0,0.0,0.0,169935.46,1.0,1,0,0
648.0,58.0,4.0,1.0,1.0,1.0,153917.41,0.0,0,1,0
620.0,34.0,2.0,2.0,1.0,1.0,92916.53,0.0,0,0,1
587.0,33.0,3.0,2.0,1.0,0.0,86957.42,0.0,0,0,0
627.0,54.0,9.0,3.0,1.0,0.0,43889.47,1.0,0,1,0
628.0,45.0,4.0,2.0,1.0,0.0,124720.68,0.0,0,0,0
716.0,31.0,1.0,2.0,1.0,1.0,153046.16,0.0,1,0,0
726.0,27.0,9.0,2.0,1.0,0.0,75825.57,0.0,1,0,1
544.0,29.0,8.0,1.0,1.0,0.0,112256.57,0.0,1,0,0
545.0,51.0,1.0,1.0,1.0,0.0,91036.74,1.0,0,0,0
590.0,52.0,3.0,1.0,1.0,0.0,92220.12,1.0,0,0,0
724.0,38.0,5.0,1.0,1.0,1.0,178373.43,0.0,1,1,0
554.0,40.0,1.0,1.0,1.0,1.0,121451.21,0.0,1,0,0
700.0,31.0,4.0,2.0,1.0,1.0,124795.84,0.0,1,0,0
578.0,61.0,4.0,2.0,1.0,1.0,93524.22,0.0,0,0,0
641.0,28.0,1.0,1.0,1.0,0.0,187943.6,0.0,1,0,0
675.0,40.0,2.0,2.0,1.0,1.0,88890.75,0.0,0,0,1
697.0,33.0,4.0,2.0,1.0,0.0,66979.06,0.0,1,0,0
681.0,27.0,0.0,2.0,0.0,1.0,130404.53,0.0,1,0,0
684.0,42.0,3.0,2.0,1.0,1.0,143829.54,0.0,1,0,0
611.0,30.0,8.0,2.0,1.0,0.0,36156.93,0.0,0,0,0
631.0,32.0,1.0,2.0,1.0,0.0,83912.24,0.0,1,0,0
693.0,31.0,9.0,2.0,1.0,1.0,186655.11,0.0,1,0,0
696.0,29.0,7.0,1.0,1.0,1.0,89801.8,0.0,0,0,0
595.0,39.0,10.0,2.0,1.0,0.0,121904.44,0.0,0,0,1
674.0,28.0,4.0,2.0,1.0,1.0,155047.11,0.0,1,0,0
528.0,32.0,4.0,2.0,1.0,1.0,126837.72,0.0,1,0,1
644.0,63.0,4.0,1.0,1.0,1.0,55859.27,1.0,0,0,0
703.0,27.0,3.0,2.0,0.0,0.0,164815.59,0.0,1,0,0
749.0,43.0,4.0,2.0,1.0,1.0,154775.7,0.0,1,0,0
602.0,46.0,4.0,1.0,0.0,0.0,159899.97,1.0,0,1,0
